name,song_name
The Shawshank Redemption,If I Didn't Care 
The Shawshank Redemption,Duettino - Sull'aria 
The Shawshank Redemption,Put The Blame On Mame 
The Shawshank Redemption,Lovesick Blues 
The Shawshank Redemption,Willie and The Hand Jive 
The Shawshank Redemption,A Mighty Fortress Is Our God 
The Godfather,Mall Wedding Sequence 
The Godfather,I Have But One Heart 
The Godfather,Luna mezz' 'o mare 
The Godfather,Manhattan Serenade 
The Godfather,Have Yourself a Merry Little Christmas 
The Godfather,Santa Claus Is Coming To Town 
The Godfather,The Bells of St. Mary's 
The Godfather,All Of My Life 
The Godfather,Mona Lisa 
The Godfather,"Passacaglia and Fugue in C minor, BWV 582 "
The Godfather,Non so più 
The Godfather,Brindisi (Libiamo ne' lieti calici) 
The Godfather,This Loneliness 
The Godfather,For He's a Jolly Good Fellow 
The Godfather,Antico Canto Siciliano 
The Godfather,Solid Potato Salad 
The Dark Knight,Balmoral 
The Dark Knight,Scatterin' Monkey 
The Dark Knight,4 A Moment of Silence 
The Dark Knight,"Andante from String Quartet in a minor D. 804, 'Rosamunde' "
The Godfather: Part II,Senza Mamma 
The Godfather: Part II,Napule Ve Salute 
The Godfather: Part II,Mr. Wonderful 
The Godfather: Part II,Heart and Soul 
The Godfather: Part II,Guantanamera 
The Godfather: Part II,The Star-Spangled Banner 
The Godfather: Part II,For He's a Jolly Good Fellow 
The Godfather: Part II,Pop Goes the Weasel 
The Godfather: Part II,U Sciccareddu Sicilianu 
12 Angry Men,Dance of the Cuckoos 
Schindler's List,"Mamatschi (Mommy, Buy Me a Pony) "
Schindler's List,God Bless The Child 
Schindler's List,La Capricieuse Opus 17 
Schindler's List,Die Holzauktion 
Schindler's List,Gute Nacht Mutter 
Schindler's List,Oyf 'n Pripetshok 
Schindler's List,Yeroushalaim Shel Zahav 
Schindler's List,Por Una Cabeza 
Schindler's List,"Meine Lippen, Sie Küssen So Heiss "
Schindler's List,To Ostatnia Niedziela 
Schindler's List,English Suite No.2 in A Minor 
Schindler's List,Mein Vater War Ein Wandersmann 
Schindler's List,Auf Der Heide Blueht Ein Kleines Bluemelein 
Schindler's List,Szomorú Vasárnap 
Schindler's List,Sus Ojos Se Cerraron 
Schindler's List,Milosc ci wszystko wybaczy 
The Lord of the Rings: The Return of the King,Into the West 
The Lord of the Rings: The Return of the King,The Green Dragon 
The Lord of the Rings: The Return of the King,The Edge of Night 
The Lord of the Rings: The Return of the King,Aragorn's Coronation 
The Lord of the Rings: The Return of the King,The House of Healing 
The Lord of the Rings: The Return of the King,A Shadow Lies Between Us 
Pulp Fiction,Misirlou 
Pulp Fiction,It's Country 
Pulp Fiction,Jungle Boogie 
Pulp Fiction,Strawberry Letter #23 
Pulp Fiction,Bustin' Surfboards 
Pulp Fiction,Let's Stay Together 
Pulp Fiction,Son Of A Preacher Man 
Pulp Fiction,Bullwinkle Part II 
Pulp Fiction,Waitin' In School 
Pulp Fiction,Lonesome Town 
Pulp Fiction,Ace Of Spades 
Pulp Fiction,Rumble 
Pulp Fiction,Since I First Met You 
Pulp Fiction,Teenagers In Love 
Pulp Fiction,You Never Can Tell 
Pulp Fiction,"Girl, You'll Be A Woman Soon "
Pulp Fiction,If Love Is A Red Dress (Hang Me In Rags) 
Pulp Fiction,Flowers On The Wall 
Pulp Fiction,Out Of Limits 
Pulp Fiction,Surf Rider 
Pulp Fiction,Comanche 
Pulp Fiction,"Ole, Ole "
The Lord of the Rings: The Fellowship of the Ring,Flaming Red Hair 
The Lord of the Rings: The Fellowship of the Ring,The Road Goes Ever On 
The Lord of the Rings: The Fellowship of the Ring,In Dreams 
The Lord of the Rings: The Fellowship of the Ring,May It Be 
The Lord of the Rings: The Fellowship of the Ring,Aníron 
The Lord of the Rings: The Fellowship of the Ring,To The Bottle I Go 
The Lord of the Rings: The Fellowship of the Ring,The Song of Beren and Luthien 
"The Good, the Bad and the Ugly",The Story Of A Soldier 
"The Good, the Bad and the Ugly",The Ecstasy of Gold 
Forrest Gump,Lovesick Blues 
Forrest Gump,Hound Dog 
Forrest Gump,Rebel Rouser 
Forrest Gump,(I Don't Know Why) But I Do 
Forrest Gump,Walk Right In 
Forrest Gump,Sugar Shack 
Forrest Gump,Paramount Newsreel Music 
Forrest Gump,Camelot 
Forrest Gump,Pomp and Circumstance 
Forrest Gump,Hanky Panky 
Forrest Gump,Blowin' in the Wind 
Forrest Gump,Land of 1000 Dances 
Forrest Gump,Fortunate Son 
Forrest Gump,I Can't Help Myself (Sugar Pie Honey Bunch) 
Forrest Gump,Respect 
Forrest Gump,Rainy Day Women #12 & 35 
Forrest Gump,Sloop John B 
Forrest Gump,All Along The Watchtower 
Forrest Gump,Soul Kitchen 
Forrest Gump,California Dreamin' 
Forrest Gump,For What It's Worth 
Forrest Gump,What the World Needs Now is Love 
Forrest Gump,Webster's Boomer 
Forrest Gump,"Hello, I Love You "
Forrest Gump,People Are Strange 
Forrest Gump,Break On Through (To the Other Side) 
Forrest Gump,Mrs. Robinson 
Forrest Gump,Volunteers 
Forrest Gump,"Hey, Joe "
Forrest Gump,Where Have All the Flowers Gone? 
Forrest Gump,Let's Get Together 
Forrest Gump,San Francisco (Be Sure to Wear Flowers in Your Hair) 
Forrest Gump,"Turn, Turn, Turn! (To Everything There is a Season) "
Forrest Gump,Aquarius 
Forrest Gump,Joy to the World 
Forrest Gump,Everybody's Talkin' 
Forrest Gump,Silent Night 
Forrest Gump,Stoned Love 
Forrest Gump,Thanks for the Memory 
Forrest Gump,Love Her Madly 
Forrest Gump,Let's Work Together 
Forrest Gump,Raindrops Keep Fallin' on My Head 
